(-8.98779658943+4.44040448532e-16j) (0.00220621844046-4.37192521109e-09j) (-0.200897326582-2.52821897823e-09j) (-6.85135908853e-05-4.37473279631e-10j) (-0.000366461243584+1.83748522612e-08j) (-0.000286291021321+1.41504777634e-10j) (0.00351121567223-4.30495070344e-09j) (-0.00626906459634-6.55490595661e-09j) (4.26717866854e-05+1.91270149836e-10j) (6.35941370333e-05+1.51529973756e-08j) (0.000419948110878+2.25146594393e-09j) (0.000270219189267+3.37387291057e-10j) (6.61925901117e-05-6.98092685522e-10j) (-9.51238428938e-05+8.09569927755e-09j) (0.00795417266658+5.95007473476e-09j) (-0.151428966835-6.79468480063e-09j) (-0.0341458838698+2.85880779563e-09j) (-0.188444006517-1.77185925845e-09j) (0.00063789189767-3.74997917247e-09j) (0.000795067707593+3.51798755404e-10j) (-0.212046671467+1.1329920245e-09j) (5.46998672871e-06+3.3822904567e-09j) (0.025910725444-1.89245168087e-09j) 
(0.00220621844046+4.37192521109e-09j) (-8.83112615663-2.32123406503e-20j) (0.00157641296347+1.30061965065e-09j) (-4.31295306863e-06-1.19710913291e-09j) (0.142629666775-4.1846706895e-09j) (6.52197771135e-06+1.00018167731e-09j) (-0.000210477568278-7.95210875523e-09j) (0.000128180374802-6.61069637123e-09j) (-0.00152081096368+1.14988235743e-09j) (-0.0867819454208-8.25217828526e-09j) (-0.000342764515289+1.61609858686e-08j) (-0.0373549857151-2.5041753674e-09j) (-0.00111212786435-3.4080955936e-09j) (-0.00392406119337-3.152235271e-09j) (0.134081324701-5.0018351818e-09j) (0.00859103674418-5.81649881012e-09j) (0.000105133694869+5.81061213239e-09j) (0.00106384912344-6.29858026634e-10j) (-0.295112284791+7.3547614578e-09j) (0.000358734590814-3.19408780558e-10j) (0.00105821220943+1.46118228399e-09j) (0.00274715867778-8.93687673718e-10j) (0.0032479187481-1.25794029241e-09j) 
(-0.200897326582+2.52821903367e-09j) (0.00157641296347-1.30061965087e-09j) (-6.28414848959-3.68404765105e-21j) (-8.05699507495e-05+6.53904330383e-09j) (-0.000941535615873+1.64398152349e-10j) (-0.00183388824383-1.26725960376e-09j) (0.0921839048639+6.06507838681e-10j) (0.00153032255688-2.26800215737e-09j) (8.65064879709e-05-2.48974560927e-09j) (-7.6177810432e-05+1.48688554869e-09j) (-0.000281329052261+2.56770362769e-09j) (0.000107769109745+6.14111829966e-09j) (7.81871416115e-06+1.05191587307e-09j) (-8.64798016239e-05-3.3801480641e-09j) (0.00240596023761+2.66468108066e-10j) (-0.0519771354905+5.22991389111e-10j) (-0.0255709262057-5.6253075119e-09j) (-0.145590159781+4.08583842827e-09j) (0.000737052744486-1.4729494637e-09j) (-9.21289435779e-06+6.48165384675e-10j) (-0.163323937478+3.04807727831e-09j) (2.11923039791e-05-1.61337835995e-09j) (0.0126574635929+1.70096939172e-09j) 
(-6.85135908853e-05+4.37473279651e-10j) (-4.31295306863e-06+1.19710913291e-09j) (-8.05699507495e-05-6.53904330382e-09j) (-4.18259234818+7.38398993722e-21j) (0.00137127088215-1.09792502375e-09j) (0.000481681931412+4.14528834192e-09j) (1.01502340499e-05-9.55641860715e-10j) (0.000639593694365-4.04405651514e-09j) (-0.049149100269+4.9962608969e-10j) (-0.00150024671851-1.68116510825e-11j) (-0.000158296679569+2.07947076235e-09j) (0.00183661844246-1.76067010684e-10j) (-0.067338751177-7.50054661299e-09j) (0.0374824294828+1.92197724448e-09j) (0.00196055814058+7.97846598181e-10j) (3.89354202676e-05+1.85213042222e-09j) (5.06895761432e-06-3.84794628679e-09j) (-4.89145532855e-05+1.07135372204e-09j) (-0.00115925440471+1.21716961639e-09j) (-9.27358926098e-05+2.58150137357e-09j) (-7.14217203964e-05-2.02907092366e-09j) (0.0106983953081+3.18225102616e-09j) (3.07241874258e-05-6.1082236312e-10j) 
(-0.000366461243584-1.83748522607e-08j) (0.142629666775+4.18467068951e-09j) (-0.000941535615873-1.64398152132e-10j) (0.00137127088215+1.09792502287e-09j) (-3.44826116439-4.1523253058e-19j) (6.09574347606e-05+1.26130046652e-09j) (0.00069100338642+7.16256097653e-11j) (0.000552146784153+7.73378823079e-10j) (0.000715348876031-1.12625150216e-09j) (-0.132704965923-4.5491449186e-09j) (-3.57606888778e-05+5.88792546716e-11j) (0.00891699242979-3.9172300733e-10j) (8.72290044362e-05-9.10631138036e-10j) (0.00395923400756-1.12316956359e-09j) (-0.0868093594322+3.85113836941e-09j) (-0.00494572927673+2.18126631633e-09j) (-1.71153295377e-07+4.41202169125e-09j) (-0.000189481194872-2.32014279588e-09j) (0.185070701988+3.24516768451e-09j) (-0.000229400779442-2.77510475943e-09j) (-0.000350862201169+2.17592827904e-10j) (-0.00111113190334+2.01895139355e-09j) (-0.00239174838927-8.67062134155e-10j) 
(-0.000286291021321-1.41504777631e-10j) (6.52197771135e-06-1.00018167731e-09j) (-0.00183388824383+1.26725960375e-09j) (0.000481681931412-4.14528834191e-09j) (6.09574347606e-05-1.26130046651e-09j) (-1.09132698017+5.55129764237e-17j) (-0.000911064945415-9.69224531458e-11j) (0.00174267829587+3.88732952642e-10j) (0.00076106197798+5.9348416042e-11j) (-0.000147349270244-6.94273340227e-10j) (0.145622982536+2.7971036675e-10j) (-3.62895476403e-05+3.28219917911e-09j) (-0.000203433912298+2.46123693622e-09j) (-0.000135516375423-1.11552580482e-09j) (0.000187931814218+7.5189213551e-10j) (-0.00357393389147+1.7784578914e-10j) (-0.0761929276359+1.50524031126e-09j) (0.00993662337806-2.75487097896e-10j) (-8.77523148496e-06-2.59096984932e-10j) (0.0100720056034-1.1028499844e-09j) (-0.00262424249593+5.58245791057e-10j) (-0.000210582921961+6.35923078792e-10j) (-0.00229519252921-1.02552195673e-09j) 
(0.00351121567223+4.30495070363e-09j) (-0.000210477568278+7.95210875521e-09j) (0.0921839048639-6.0650783855e-10j) (1.01502340499e-05+9.55641860715e-10j) (0.00069100338642-7.1625609776e-11j) (-0.000911064945415+9.69224531666e-11j) (-0.581493288519-5.55441317284e-17j) (-0.194015052503-2.71506868344e-10j) (-0.00237980748946+3.16486306451e-10j) (0.00112392448894-1.8003315618e-09j) (-0.00158217515674-1.19632794687e-09j) (0.000124977828887-4.11728120505e-10j) (0.00011697574523+1.86099833539e-10j) (9.09049251764e-05-2.21075986446e-09j) (0.00322069510915-1.58119469507e-09j) (-0.0532122546127-2.41549501404e-10j) (0.0216027599703+2.25863847742e-09j) (0.108012420726-5.88698549114e-10j) (-7.97363642066e-05+6.47326822329e-10j) (-0.000338812419122+1.20124338385e-09j) (0.111495917498-4.2517167552e-10j) (5.84824472745e-06-1.68983056542e-09j) (-0.050294444319-5.84036490196e-10j) 
(-0.00626906459634+6.55490595673e-09j) (0.000128180374802+6.61069637123e-09j) (0.00153032255688+2.26800215726e-09j) (0.000639593694365+4.04405651515e-09j) (0.000552146784153-7.73378823057e-10j) (0.00174267829587-3.88732952473e-10j) (-0.194015052503+2.71506861473e-10j) (1.19056699575+1.11481381161e-16j) (0.00200472521785+2.59840150614e-10j) (0.00101388198472-3.27880258992e-09j) (8.54405199904e-05-3.04198501896e-10j) (0.000717779189766+2.82375793706e-10j) (-0.000753502869856-1.5048581288e-09j) (-0.00157241681194-1.79837629254e-09j) (0.00807210778879-2.87644886271e-10j) (-0.14516070207+4.48645621764e-10j) (0.0132957723674-4.7802753451e-09j) (0.0891165170274+1.97130123956e-09j) (0.000443863874088+7.46558274e-10j) (3.11046308e-05-2.00438968492e-09j) (0.0693696716854-6.91564891388e-10j) (-0.000626513136885+1.27789774325e-10j) (0.0021595253674-1.01909759344e-09j) 
(4.26717866854e-05-1.91270149847e-10j) (-0.00152081096368-1.14988235741e-09j) (8.65064879709e-05+2.48974560927e-09j) (-0.049149100269-4.99626089727e-10j) (0.000715348876031+1.12625150227e-09j) (0.00076106197798-5.93484159773e-11j) (-0.00237980748946-3.16486305974e-10j) (0.00200472521785-2.59840152342e-10j) (1.0980254198+5.52762234572e-17j) (0.00105272750793-6.00089841537e-10j) (-0.00187623175902-2.0208181938e-09j) (-0.000866999245615-1.91799478836e-09j) (0.0728808586452+6.61559798841e-10j) (0.144216686038+2.30643068274e-09j) (0.00859319097613+1.07312004943e-09j) (-0.0011401271977+5.28817023798e-10j) (6.99444227748e-05-1.3015934845e-09j) (0.00113502031524-2.32369626518e-10j) (-0.00659961157032-5.99769342674e-10j) (-0.000156165390106-1.46051745451e-09j) (0.000857509962146+1.27098212447e-09j) (0.0504936554458+3.31743143135e-10j) (2.8845734058e-05-2.1522498905e-10j) 
(6.35941370333e-05-1.51529973756e-08j) (-0.0867819454208+8.25217828501e-09j) (-7.6177810432e-05-1.48688554867e-09j) (-0.00150024671851+1.68116510795e-11j) (-0.132704965923+4.54914491873e-09j) (-0.000147349270244+6.94273340219e-10j) (0.00112392448894+1.80033156181e-09j) (0.00101388198472+3.27880258994e-09j) (0.00105272750793+6.00089841788e-10j) (1.79861253379-1.68726577843e-18j) (7.5954887269e-05+3.01577944389e-09j) (-0.180194855147-3.57720650045e-09j) (0.0013235907342+6.53212939647e-10j) (-0.000203940379305-4.3591859665e-10j) (-0.0467679859936+5.53371757051e-10j) (-0.00121806465974+2.02148121486e-09j) (0.000111642120497-2.07855739293e-09j) (0.000114040325519-2.02780737957e-09j) (0.0323936239766-1.49978638715e-09j) (-2.12847413549e-05+1.10268472146e-09j) (0.000239094454666-1.34939115287e-09j) (-0.0017378591488-5.77258345106e-09j) (-0.00182550399473+9.5219604638e-10j) 
(0.000419948110878-2.25146594393e-09j) (-0.000342764515289-1.61609858686e-08j) (-0.000281329052261-2.5677036277e-09j) (-0.000158296679569-2.07947076234e-09j) (-3.57606888778e-05-5.88792546618e-11j) (0.145622982536-2.79710377073e-10j) (-0.00158217515674+1.19632794698e-09j) (8.54405199904e-05+3.04198502052e-10j) (-0.00187623175902+2.02081819376e-09j) (7.5954887269e-05-3.01577944391e-09j) (2.17062775954-1.11185314692e-16j) (0.00010531150248+1.18432417616e-09j) (0.000731805601035-1.64429084426e-09j) (0.00169251738345-1.38620095611e-09j) (0.000173408103019-1.57192838702e-09j) (-0.000849345210593+7.10723778116e-10j) (-0.0870958772679+1.17866977619e-09j) (0.0203516921669-5.42489102795e-10j) (-0.00016480902339+1.55692396995e-10j) (-0.0137489925128-5.75089504207e-10j) (0.00300690247348-1.30043010906e-10j) (0.0003786476941+1.44027232513e-09j) (0.00379933426158+3.27973411655e-10j) 
